ISOCode,Year,EnergyTypeID,ElectricityGenerationTWH,ElectricityGenerationPerPerson,ShareOfElectricityGenerated
DZA,2008,2,0.74,2.140609585441448e-08,1.9561194
DZA,2008,3,36.81,1.0648086329743203e-06,97.30373
DZA,2008,4,0.0,0.0,0.0
DZA,2008,5,0.28,8.09960383680548e-09,0.74015325
DZA,2008,6,0.0,0.0,0.0
DZA,2008,7,0.0,0.0,0.0
DZA,2009,1,0.0,0.0,0.0
DZA,2009,2,0.57,1.619500375610438e-08,1.5745856
DZA,2009,3,35.33,1.0038061100055573e-06,97.59669
DZA,2009,4,0.0,0.0,0.0
DZA,2009,5,0.3,8.523686187423357e-09,0.82872933
DZA,2009,6,0.0,0.0,0.0
DZA,2009,7,0.0,0.0,0.0
DZA,2010,1,0.0,0.0,0.0
DZA,2010,2,0.91,2.5379048641540406e-08,2.1162791
DZA,2010,3,41.92,1.1691095813773338e-06,97.48837
DZA,2010,4,0.0,0.0,0.0
DZA,2010,5,0.17,4.741140955013043e-09,0.39534885
DZA,2010,6,0.0,0.0,0.0
DZA,2010,7,0.0,0.0,0.0
DZA,2011,1,0.0,0.0,0.0
DZA,2011,2,1.0,2.7364611668248524e-08,2.075981
DZA,2011,3,46.67,1.2771064265571586e-06,96.88603
DZA,2011,4,0.0,0.0,0.0
DZA,2011,5,0.5,1.3682305834124262e-08,1.0379905
DZA,2011,6,0.0,0.0,0.0
DZA,2011,7,0.0,0.0,0.0
DZA,2012,1,0.0,0.0,0.0
DZA,2012,2,1.0,2.6838023510538004e-08,1.8521948
DZA,2012,3,52.37,1.4055072912468752e-06,96.99944
DZA,2012,4,0.0,0.0,0.0
DZA,2012,5,0.62,1.6639574576533563e-08,1.1483607
DZA,2012,6,0.0,0.0,0.0
DZA,2012,7,0.0,0.0,0.0
DZA,2013,1,0.0,0.0,0.0
DZA,2013,2,0.85,2.236805139115069e-08,1.509233
DZA,2013,3,55.14,1.4510286514212344e-06,97.90483
DZA,2013,4,0.0,0.0,0.0
DZA,2013,5,0.33,8.684067010682035e-09,0.5859375
DZA,2013,6,0.0,0.0,0.0
DZA,2013,7,0.0,0.0,0.0
DZA,2014,1,0.0,0.0,0.0
DZA,2014,2,0.6,1.5479809065843056e-08,0.9933775
DZA,2014,3,59.55,1.5363710497849235e-06,98.59271
DZA,2014,4,0.0,0.0,0.0
DZA,2014,5,0.25,6.449920444101274e-09,0.41390726
DZA,2014,6,0.0,0.0,0.0
DZA,2014,7,0.0,0.0,0.0
DZA,2015,1,0.0,0.0,0.0
DZA,2015,2,0.85,2.1495506629871753e-08,1.314162
DZA,2015,3,63.61,1.608622560854285e-06,98.3457
DZA,2015,4,0.0,0.0,0.0
DZA,2015,5,0.14,3.5404363860965244e-09,0.21645021
DZA,2015,6,0.06,1.5173298797556532e-09,0.09276438
DZA,2015,7,0.02,5.057766265852178e-10,0.03092146
DZA,2016,1,0.0,0.0,0.0
DZA,2016,2,0.85,2.1071248385694477e-08,1.2732174
DZA,2016,3,65.57,1.625460890176455e-06,98.21749
DZA,2016,4,0.0,0.0,0.0
DZA,2016,5,0.22,5.453734876297394e-09,0.32953864
DZA,2016,6,0.09,2.2310733584852974e-09,0.13481127
DZA,2016,7,0.03,7.436911194950992e-10,0.044937085
DZA,2017,1,0.0,0.0,0.0
DZA,2017,2,0.92,2.2364540651296264e-08,1.2867132
DZA,2017,3,69.94,1.7001912751648485e-06,97.818184
DZA,2017,4,0.0,0.0,0.0
DZA,2017,5,0.06,1.4585569989975823e-09,0.08391608
DZA,2017,6,0.57,1.3856291490477032e-08,0.7972028
DZA,2017,7,0.01,2.4309283316626373e-10,0.013986014
DZA,2018,1,0.0,0.0,0.0
