ISOCode,Year,AnnualGasemissions
TLS,1964,438812.12
TLS,1965,642077.25
TLS,1966,990701.4
TLS,1967,1032281.6
TLS,1968,1291826.6
TLS,1969,2590196.2
TLS,1970,2180310.0
TLS,1971,2308030.0
TLS,1972,2829222.5
TLS,1973,2523553.5
TLS,1974,2909149.5
TLS,1975,2806220.5
TLS,1976,2857862.5
TLS,1977,3422850.8
TLS,1978,3116501.5
TLS,1979,2800604.8
TLS,1980,2729860.5
TLS,1981,2508741.0
TLS,1982,2463296.8
TLS,1983,2501203.0
TLS,1984,2776529.2
TLS,1985,2787201.5
TLS,1986,3112356.2
TLS,1987,3214686.8
TLS,1988,3161467.5
TLS,1989,4739523.5
TLS,1990,5296611.0
TLS,1991,4330025.0
TLS,1992,4519494.5
TLS,1993,4522162.0
TLS,1994,3925337.0
TLS,1995,3562330.8
TLS,1996,3131664.8
TLS,1997,2619029.8
TLS,1998,2641011.5
TLS,1999,2970826.2
TLS,2000,5842356.5
TLS,2001,4614330.5
TLS,2002,4773300.5
TLS,2003,7065365.5
TLS,2004,6132274.5
TLS,2005,5328705.0
TLS,2006,6588285.5
TLS,2007,6888644.0
TLS,2008,7035366.0
TLS,2009,6049119.0
TLS,2010,6149200.5
TLS,2011,7375305.0
TLS,2012,7078882.5
TLS,2013,6625209.0
TLS,2014,5571895.5
TLS,2015,5557056.0
TLS,2016,5073855.5
TLS,2017,5463347.0
TLS,2018,5214325.5
TLS,2019,5217052.5
TLS,2020,5150211.0
TLS,2021,4980636.5
TLS,2022,4728220.5
ECU,1850,5275284.5
ECU,1851,8047938.5
ECU,1852,6287185.5
ECU,1853,7641838.5
ECU,1854,8030936.5
ECU,1855,7061007.5
ECU,1856,6529587.0
ECU,1857,7258936.5
ECU,1858,3409202.2
ECU,1859,6801600.5
ECU,1860,6779624.5
ECU,1861,6944088.0
ECU,1862,7143761.5
ECU,1863,6748050.5
ECU,1864,3769891.2
ECU,1865,6708018.5
ECU,1866,8050409.5
ECU,1867,7152449.0
ECU,1868,7216687.0
ECU,1869,6462689.5
ECU,1870,7868059.0
ECU,1871,8682306.0
ECU,1872,8989780.0
ECU,1873,8333600.0
ECU,1874,8037245.0
ECU,1875,5284929.0
ECU,1876,7015728.0
ECU,1877,10893825.0
ECU,1878,12016956.0
ECU,1879,9998578.0
ECU,1880,7062585.5
ECU,1881,7334032.0
ECU,1882,7419370.5
ECU,1883,9144872.0
ECU,1884,9012882.0
ECU,1885,7397947.0
ECU,1886,8216511.5
ECU,1887,8199479.5
ECU,1888,7967794.0
ECU,1889,6433502.0
ECU,1890,8926564.0
ECU,1891,8504030.0
ECU,1892,8106982.0
ECU,1893,8704913.0
ECU,1894,9158550.0
ECU,1895,9438552.0
ECU,1896,9175455.0
ECU,1897,9985409.0
ECU,1898,9948810.0
ECU,1899,10359132.0
ECU,1900,11221698.0
ECU,1901,12582534.0
ECU,1902,13062074.0
ECU,1903,14681707.0
ECU,1904,14125297.0
ECU,1905,14290840.0
ECU,1906,15044922.0
ECU,1907,14646383.0
ECU,1908,16280882.0
ECU,1909,16167255.0
ECU,1910,15646948.0
ECU,1911,14879143.0
ECU,1912,15607603.0
ECU,1913,16786358.0
ECU,1914,17293382.0
ECU,1915,13774472.0
ECU,1916,16450412.0
ECU,1917,14285522.0
ECU,1918,16129399.0
ECU,1919,18021998.0
ECU,1920,17446606.0
ECU,1921,17554124.0
ECU,1922,18102032.0
ECU,1923,18685932.0
ECU,1924,19238248.0
ECU,1925,19588498.0
ECU,1926,20640656.0
ECU,1927,21266024.0
ECU,1928,23193954.0
ECU,1929,22669136.0
ECU,1930,30895470.0
ECU,1931,38696516.0
ECU,1932,40580864.0
ECU,1933,45346530.0
ECU,1934,46236524.0
ECU,1935,47552430.0
ECU,1936,47974136.0
ECU,1937,49422216.0
ECU,1938,48537612.0
ECU,1939,48796096.0
ECU,1940,45723460.0
ECU,1941,45943600.0
ECU,1942,46072620.0
ECU,1943,45184736.0
ECU,1944,44242804.0
ECU,1945,44679300.0
ECU,1946,41615524.0
ECU,1947,42564360.0
ECU,1948,44956150.0
ECU,1949,45412276.0
ECU,1950,47978830.0
ECU,1951,51421092.0
ECU,1952,53887944.0
ECU,1953,55536756.0
ECU,1954,58156640.0
ECU,1955,59801252.0
ECU,1956,61207544.0
ECU,1957,67395000.0
ECU,1958,70181790.0
ECU,1959,72149690.0
ECU,1960,94903530.0
ECU,1961,64292484.0
ECU,1962,56406424.0
ECU,1963,48631120.0
ECU,1964,46113150.0
ECU,1965,42214124.0
ECU,1966,42120796.0
ECU,1967,38697652.0
ECU,1968,48137276.0
ECU,1969,47606100.0
ECU,1970,53642492.0
ECU,1971,51014470.0
ECU,1972,54687940.0
ECU,1973,70648390.0
ECU,1974,86409610.0
ECU,1975,83635810.0
ECU,1976,103135180.0
ECU,1977,90737960.0
ECU,1978,94286220.0
ECU,1979,111648760.0
ECU,1980,121728890.0
ECU,1981,115703464.0
ECU,1982,107859690.0
ECU,1983,116066490.0
ECU,1984,120884650.0
ECU,1985,117557460.0
ECU,1986,110240470.0
ECU,1987,88223880.0
ECU,1988,83125224.0
ECU,1989,96850220.0
ECU,1990,91807470.0
ECU,1991,89476690.0
ECU,1992,92635830.0
ECU,1993,116528936.0
ECU,1994,88145620.0
ECU,1995,89975970.0
ECU,1996,100291130.0
ECU,1997,94018520.0
ECU,1998,97112264.0
ECU,1999,93634930.0
ECU,2000,79071570.0
ECU,2001,76650750.0
ECU,2002,71560136.0
ECU,2003,122075730.0
ECU,2004,84687550.0
ECU,2005,77380030.0
ECU,2006,71401784.0
ECU,2007,80760800.0
ECU,2008,87613510.0
ECU,2009,84333930.0
ECU,2010,84325850.0
ECU,2011,106926620.0
ECU,2012,99086260.0
ECU,2013,91297540.0
ECU,2014,132169464.0
ECU,2015,93300380.0
ECU,2016,90386320.0
ECU,2017,83563350.0
ECU,2018,80800670.0
ECU,2019,79805910.0
ECU,2020,70131810.0
ECU,2021,77802320.0
ECU,2022,80009300.0
EGY,1850,4088451.0
EGY,1851,4062367.8
EGY,1852,4077566.8
EGY,1853,4096452.0
EGY,1854,4119095.5
EGY,1855,4143603.5
EGY,1856,4124638.0
EGY,1857,4151916.5
EGY,1858,4181118.8
EGY,1859,4210803.0
EGY,1860,4315000.0
EGY,1861,4417248.0
EGY,1862,4509578.5
EGY,1863,4595805.5
EGY,1864,4678266.0
EGY,1865,4758973.5
EGY,1866,4789569.0
EGY,1867,4866430.5
EGY,1868,4943004.0
EGY,1869,5018702.5
EGY,1870,5103609.5
EGY,1871,5451942.5
EGY,1872,5284363.0
EGY,1873,5380525.0
EGY,1874,5479168.5
EGY,1875,5579466.0
EGY,1876,5680515.0
EGY,1877,5780110.5
EGY,1878,5877033.0
EGY,1879,5970331.5
EGY,1880,6200893.0
EGY,1881,6431272.5
